"id"	"sex"	"age"	"height"	"weight"	"headband"	"college"	"tattoos"	"tchests"	"parrots"	"favorite.pirate"	"sword.type"	"eyepatch"	"sword.time"	"beard.length"	"fav.pixar"	"grogg"
"33"	33	"male"	31	190.02	90.5	"yes"	"JSSFP"	13	3	1	"Jack Sparrow"	"cutlass"	1	0.29	24	"Inside Out"	7
"34"	34	"female"	30	162.6	61	"yes"	"CCCC"	13	15	6	"Jack Sparrow"	"cutlass"	1	1.26	0	"Monsters, Inc."	7
"35"	35	"male"	23	178.24	75.1	"yes"	"CCCC"	17	2	1	"Hook"	"cutlass"	0	0.34	24	"Brave"	8
"36"	36	"female"	18	163.09	63.3	"yes"	"CCCC"	9	14	0	"Jack Sparrow"	"cutlass"	0	0.14	0	"Monsters University"	9
"37"	37	"other"	27	161.2	63.6	"no"	"CCCC"	0	3	1	"Lewis Scot"	"scimitar"	1	8.48	3	"A Bug's Life"	8
"38"	38	"female"	31	158.03	63	"yes"	"JSSFP"	8	1	2	"Lewis Scot"	"cutlass"	1	1.57	0	"A Bug's Life"	13
"39"	39	"female"	25	129.83	33	"no"	"CCCC"	6	39	1	"Edward Low"	"sabre"	0	1.13	1	"Finding Nemo"	13
"40"	40	"female"	36	153.68	61.7	"yes"	"JSSFP"	9	18	6	"Anicetus"	"cutlass"	1	0.17	0	"Up"	12
"41"	41	"female"	24	158.88	59.2	"yes"	"CCCC"	18	58	3	"Jack Sparrow"	"cutlass"	1	0.53	0	"A Bug's Life"	4
"42"	42	"female"	27	176.59	69.3	"yes"	"CCCC"	13	1	1	"Edward Low"	"cutlass"	1	1.35	1	"Inside Out"	8
"43"	43	"female"	26	158.6	67.7	"yes"	"CCCC"	15	10	2	"Edward Low"	"cutlass"	0	0.93	0	"WALL-E"	9
"44"	44	"male"	28	178.66	82.6	"yes"	"CCCC"	4	0	2	"Jack Sparrow"	"cutlass"	1	0.28	8	"Monsters, Inc."	19
"45"	45	"male"	28	167.63	65.9	"yes"	"CCCC"	8	17	5	"Jack Sparrow"	"cutlass"	1	0.51	17	"Toy Story 3"	10
"46"	46	"female"	24	176.23	75.3	"yes"	"CCCC"	14	14	8	"Blackbeard"	"cutlass"	1	0.23	0	"Inside Out"	6
"47"	47	"female"	23	157.7	64.9	"yes"	"CCCC"	12	56	2	"Lewis Scot"	"cutlass"	1	0.89	0	"Up"	9
"48"	48	"male"	27	166.62	67.8	"no"	"CCCC"	8	26	3	"Lewis Scot"	"banana"	1	31.39	11	"Monsters, Inc."	7
"49"	49	"male"	20	160.64	70.7	"yes"	"CCCC"	9	9	2	"Jack Sparrow"	"cutlass"	0	0.19	16	"Toy Story 3"	10
"50"	50	"female"	28	151.61	60.8	"yes"	"CCCC"	8	1	0	"Lewis Scot"	"cutlass"	0	1	1	"Finding Nemo"	9
"51"	51	"male"	26	170.25	71	"yes"	"CCCC"	9	13	1	"Jack Sparrow"	"cutlass"	1	0.79	15	"Up"	10
"52"	52	"other"	35	179.06	74.1	"yes"	"JSSFP"	13	0	4	"Anicetus"	"cutlass"	0	0.43	13	"Ratatouille"	13
"53"	53	"male"	27	191.01	89.6	"yes"	"CCCC"	11	6	1	"Jack Sparrow"	"cutlass"	1	0.92	15	"Inside Out"	5
"54"	54	"female"	38	160.91	58.2	"yes"	"JSSFP"	12	102	3	"Lewis Scot"	"cutlass"	1	0.51	1	"Inside Out"	0
"55"	55	"male"	18	161.41	63.8	"yes"	"CCCC"	8	1	5	"Jack Sparrow"	"cutlass"	1	0.68	13	"Inside Out"	12
"56"	56	"male"	24	187.51	83.4	"yes"	"CCCC"	8	17	1	"Jack Sparrow"	"cutlass"	0	0.46	19	"Toy Story"	11
"57"	57	"male"	26	182.52	76.7	"yes"	"CCCC"	15	36	1	"Jack Sparrow"	"cutlass"	0	2.91	20	"Monsters, Inc."	18
"58"	58	"female"	30	156.38	57.2	"yes"	"CCCC"	9	35	0	"Anicetus"	"cutlass"	1	0.14	0	"Inside Out"	7
"59"	59	"male"	25	170.51	73.9	"yes"	"CCCC"	8	25	9	"Jack Sparrow"	"cutlass"	1	0.67	23	"Monsters University"	15
"60"	60	"female"	32	151.83	46.8	"no"	"JSSFP"	2	20	2	"Hook"	"scimitar"	1	13.8	1	"WALL-E"	10
"61"	61	"female"	37	147.82	52.2	"yes"	"JSSFP"	14	38	17	"Jack Sparrow"	"cutlass"	1	0.1	1	"Monsters University"	8
"62"	62	"male"	19	174.94	73.2	"yes"	"CCCC"	11	3	0	"Lewis Scot"	"cutlass"	0	1.22	20	"WALL-E"	14
"63"	63	"male"	26	178.15	81	"no"	"CCCC"	10	0	10	"Jack Sparrow"	"sabre"	1	4.86	15	"Up"	7
"64"	64	"female"	32	157.91	54.2	"no"	"JSSFP"	6	14	1	"Jack Sparrow"	"scimitar"	1	14.62	0	"The Incredibles"	11
"65"	65	"female"	23	168.26	70.8	"yes"	"CCCC"	9	20	1	"Lewis Scot"	"cutlass"	1	3.79	2	"Inside Out"	9
"66"	66	"other"	22	186.29	87.5	"yes"	"CCCC"	11	26	1	"Edward Low"	"cutlass"	0	3.27	23	"Finding Nemo"	11
"67"	67	"male"	21	174.63	76.7	"yes"	"CCCC"	14	34	1	"Jack Sparrow"	"cutlass"	1	0.04	16	"Inside Out"	8
"68"	68	"female"	32	165.66	55.8	"yes"	"JSSFP"	8	18	3	"Anicetus"	"cutlass"	1	0.31	0	"Inside Out"	3
"69"	69	"male"	28	179.63	74.9	"yes"	"CCCC"	7	16	7	"Jack Sparrow"	"cutlass"	0	0.44	14	"Toy Story 2"	10
"70"	70	"other"	21	179.8	66.6	"yes"	"CCCC"	11	31	1	"Blackbeard"	"cutlass"	0	0.71	20	"The Incredibles"	6
"71"	71	"female"	35	164.41	64.5	"no"	"JSSFP"	5	38	5	"Lewis Scot"	"scimitar"	0	1.93	0	"WALL-E"	13
"72"	72	"female"	20	152.21	57.7	"yes"	"CCCC"	7	17	2	"Hook"	"cutlass"	1	0.71	2	"Inside Out"	4
"73"	73	"female"	24	186.2	85.5	"yes"	"CCCC"	13	59	0	"Hook"	"cutlass"	1	0.01	0	"The Incredibles"	11
"74"	74	"female"	38	161.52	58.6	"yes"	"JSSFP"	9	31	3	"Hook"	"cutlass"	0	0.59	1	"Brave"	7
"75"	75	"male"	21	185.38	83.6	"yes"	"CCCC"	11	17	1	"Jack Sparrow"	"cutlass"	1	0.2	26	"Inside Out"	10
"76"	76	"female"	34	155.54	59	"yes"	"JSSFP"	6	4	0	"Hook"	"cutlass"	1	0.09	0	"Cars"	13
"77"	77	"female"	19	164.19	54.5	"yes"	"CCCC"	6	9	3	"Lewis Scot"	"cutlass"	1	0.01	0	"Inside Out"	7
"78"	78	"male"	25	169.03	67.3	"yes"	"CCCC"	7	64	0	"Jack Sparrow"	"cutlass"	1	0.24	31	"Inside Out"	13
"79"	79	"male"	18	171.32	66.6	"yes"	"CCCC"	13	2	0	"Jack Sparrow"	"cutlass"	1	0.89	22	"Inside Out"	12
"80"	80	"female"	36	160.57	64.7	"yes"	"JSSFP"	12	41	1	"Edward Low"	"cutlass"	1	0.17	1	"Monsters University"	9
"81"	81	"female"	35	152.77	57.6	"no"	"JSSFP"	5	54	6	"Jack Sparrow"	"banana"	1	2.5	0	"Up"	14
"82"	82	"male"	22	187.09	79.7	"yes"	"CCCC"	16	2	1	"Jack Sparrow"	"cutlass"	0	0.34	26	"The Incredibles"	9
"83"	83	"male"	21	159.73	70.3	"yes"	"CCCC"	12	0	1	"Jack Sparrow"	"cutlass"	1	1.12	14	"Inside Out"	11
"84"	84	"female"	15	179.91	74.6	"yes"	"CCCC"	14	5	2	"Hook"	"cutlass"	1	0.78	1	"WALL-E"	10
"85"	85	"female"	28	148.85	52.9	"yes"	"CCCC"	9	122	2	"Blackbeard"	"cutlass"	0	0.2	0	"Toy Story"	14
"86"	86	"female"	28	159.63	58.4	"yes"	"CCCC"	10	1	0	"Lewis Scot"	"cutlass"	0	1.09	0	"Up"	7
"87"	87	"male"	24	165.55	68.2	"yes"	"CCCC"	14	73	5	"Jack Sparrow"	"cutlass"	1	0.51	20	"The Incredibles"	11
"88"	88	"female"	34	169.06	63.6	"no"	"JSSFP"	6	1	2	"Hook"	"banana"	1	18.92	0	"Finding Nemo"	10
"89"	89	"male"	15	173.03	71.4	"yes"	"CCCC"	13	25	1	"Jack Sparrow"	"scimitar"	0	9.71	22	"Cars"	13
"90"	90	"other"	15	169.57	67.3	"yes"	"CCCC"	10	7	2	"Hook"	"cutlass"	0	1.37	20	"Finding Nemo"	9
"91"	91	"male"	22	179.77	81.1	"yes"	"CCCC"	3	0	2	"Hook"	"cutlass"	0	1.86	15	"Finding Nemo"	14
"92"	92	"male"	31	180.68	79.4	"yes"	"JSSFP"	9	13	1	"Jack Sparrow"	"cutlass"	1	2.18	10	"Monsters, Inc."	6
"93"	93	"male"	29	169.89	70.4	"yes"	"JSSFP"	7	75	24	"Jack Sparrow"	"cutlass"	1	2.13	18	"Monsters University"	11
"94"	94	"male"	20	178.16	76.8	"yes"	"CCCC"	12	7	0	"Hook"	"cutlass"	0	0.54	21	"Up"	9
"95"	95	"female"	45	148.2	54.2	"yes"	"JSSFP"	11	21	21	"Lewis Scot"	"cutlass"	1	0.62	1	"Inside Out"	10
"96"	96	"female"	35	155.69	52.5	"yes"	"JSSFP"	9	18	20	"Anicetus"	"cutlass"	1	1.91	1	"Inside Out"	14
"97"	97	"male"	22	187.16	79.1	"yes"	"CCCC"	4	66	2	"Jack Sparrow"	"cutlass"	0	0.65	13	"Finding Nemo"	11
"98"	98	"female"	17	166.89	70.1	"yes"	"CCCC"	7	10	2	"Hook"	"cutlass"	1	0.31	0	"Inside Out"	6
"99"	99	"female"	29	170.84	63.5	"yes"	"JSSFP"	14	34	5	"Lewis Scot"	"cutlass"	0	0.5	2	"Finding Nemo"	13
"100"	100	"female"	33	160.95	67	"yes"	"JSSFP"	9	72	0	"Edward Low"	"cutlass"	1	1.94	2	"Inside Out"	13
"101"	101	"other"	33	168.82	63	"yes"	"JSSFP"	13	10	2	"Blackbeard"	"cutlass"	1	1.06	13	"Up"	16
"102"	102	"male"	23	162.25	55.3	"yes"	"CCCC"	10	24	4	"Jack Sparrow"	"cutlass"	1	0.5	24	"Inside Out"	12
"103"	103	"male"	31	164.73	68	"yes"	"JSSFP"	13	22	2	"Jack Sparrow"	"cutlass"	1	0.49	24	"Inside Out"	8
"104"	104	"male"	20	161.89	63.9	"yes"	"CCCC"	11	6	6	"Blackbeard"	"cutlass"	1	4.55	16	"Monsters, Inc."	4
"105"	105	"male"	25	161.84	61.4	"no"	"CCCC"	6	15	1	"Edward Low"	"scimitar"	1	3.69	6	"Inside Out"	7
"106"	106	"male"	19	188.26	89.9	"yes"	"CCCC"	8	15	2	"Jack Sparrow"	"cutlass"	1	0.27	20	"Inside Out"	6
"107"	107	"male"	26	171.98	69.8	"yes"	"CCCC"	4	23	0	"Jack Sparrow"	"cutlass"	1	0.09	11	"Up"	9
"108"	108	"male"	26	162.77	60.8	"yes"	"CCCC"	7	37	0	"Jack Sparrow"	"scimitar"	0	2.91	18	"Monsters University"	10
"109"	109	"male"	29	187.63	88.2	"yes"	"CCCC"	12	29	2	"Jack Sparrow"	"cutlass"	1	0.04	21	"Inside Out"	12
"110"	110	"male"	34	186.93	85.1	"yes"	"JSSFP"	4	63	4	"Jack Sparrow"	"cutlass"	0	0.03	15	"The Incredibles"	12
"111"	111	"male"	30	188.19	86.2	"yes"	"JSSFP"	12	2	3	"Jack Sparrow"	"cutlass"	0	0.3	12	"Monsters University"	13
"112"	112	"male"	26	173.92	72.3	"yes"	"CCCC"	15	59	4	"Jack Sparrow"	"cutlass"	1	0.33	25	"Inside Out"	10
"113"	113	"male"	29	174.55	73.6	"yes"	"JSSFP"	12	8	4	"Edward Low"	"cutlass"	1	0.91	18	"Inside Out"	7
"114"	114	"male"	27	156.65	59.6	"yes"	"CCCC"	1	2	2	"Jack Sparrow"	"cutlass"	1	0.08	8	"Inside Out"	13
"115"	115	"male"	29	188.16	90.8	"yes"	"CCCC"	18	9	2	"Jack Sparrow"	"cutlass"	0	0.48	26	"The Incredibles"	10
"116"	116	"male"	17	165.18	62.7	"yes"	"CCCC"	9	9	2	"Jack Sparrow"	"cutlass"	1	0.18	13	"Inside Out"	6
"117"	117	"male"	31	184.16	79.2	"yes"	"JSSFP"	5	6	6	"Jack Sparrow"	"cutlass"	0	0.28	4	"Monsters University"	11
"118"	118	"male"	19	176.42	77.6	"yes"	"CCCC"	14	0	4	"Jack Sparrow"	"cutlass"	1	0.02	16	"Inside Out"	16
"119"	119	"female"	30	163.22	70.9	"yes"	"CCCC"	9	67	1	"Lewis Scot"	"cutlass"	0	0.48	0	"Monsters University"	8
"120"	120	"female"	16	161.14	65.2	"yes"	"CCCC"	9	2	0	"Jack Sparrow"	"cutlass"	1	0.12	1	"Cars 2"	7
"121"	121	"female"	33	166	66.7	"yes"	"JSSFP"	5	24	0	"Edward Low"	"cutlass"	0	0.66	0	"Monsters University"	11
"122"	122	"female"	26	150.86	56.7	"yes"	"CCCC"	11	9	4	"Blackbeard"	"cutlass"	1	0.1	1	"A Bug's Life"	9
"123"	123	"male"	18	176.82	76.9	"yes"	"CCCC"	9	22	5	"Jack Sparrow"	"cutlass"	1	1.92	17	"Monsters, Inc."	9
"124"	124	"male"	37	175.59	71.8	"yes"	"JSSFP"	10	21	9	"Jack Sparrow"	"cutlass"	0	0.42	20	"Up"	12
"125"	125	"female"	33	178.94	84.3	"yes"	"JSSFP"	10	0	1	"Lewis Scot"	"cutlass"	1	0.33	0	"The Incredibles"	6
"126"	126	"female"	30	163.79	65.6	"yes"	"CCCC"	17	33	1	"Lewis Scot"	"cutlass"	1	0.9	1	"Inside Out"	8
"127"	127	"female"	39	161.16	60.2	"yes"	"JSSFP"	12	0	0	"Hook"	"cutlass"	0	0.04	1	"Finding Nemo"	14
"128"	128	"male"	32	167.12	64.5	"yes"	"JSSFP"	11	10	5	"Jack Sparrow"	"cutlass"	0	0.05	18	"Finding Nemo"	2
"129"	129	"male"	28	167.41	67.1	"yes"	"CCCC"	5	3	7	"Hook"	"cutlass"	0	1.41	11	"Finding Nemo"	6
"130"	130	"male"	32	180.26	75.6	"yes"	"JSSFP"	14	36	1	"Jack Sparrow"	"cutlass"	1	0.06	25	"Inside Out"	12
"131"	131	"female"	32	148.7	57.6	"yes"	"JSSFP"	10	14	9	"Edward Low"	"banana"	1	19.58	0	"Toy Story"	11
"132"	132	"female"	21	166.57	65.1	"yes"	"CCCC"	8	19	1	"Lewis Scot"	"cutlass"	0	0.19	0	"Cars"	5
"133"	133	"female"	30	171.3	76.5	"yes"	"CCCC"	7	48	6	"Lewis Scot"	"cutlass"	1	0.5	0	"Inside Out"	10
"134"	134	"male"	16	191.17	86.9	"no"	"CCCC"	5	27	3	"Jack Sparrow"	"sabre"	0	4.78	13	"Finding Nemo"	10
"135"	135	"female"	34	167.86	67.9	"yes"	"JSSFP"	6	29	1	"Jack Sparrow"	"cutlass"	1	1.72	1	"Toy Story"	9
"136"	136	"male"	22	185.72	77.5	"yes"	"CCCC"	12	4	2	"Jack Sparrow"	"cutlass"	0	0.7	24	"Finding Nemo"	6
"137"	137	"female"	25	158.13	62.4	"yes"	"CCCC"	12	20	2	"Blackbeard"	"cutlass"	1	0.03	2	"Cars 2"	17
"138"	138	"male"	31	169.92	69.5	"yes"	"JSSFP"	12	3	14	"Jack Sparrow"	"cutlass"	0	0.1	18	"A Bug's Life"	8
"139"	139	"male"	27	172.41	70.5	"yes"	"CCCC"	8	3	15	"Jack Sparrow"	"cutlass"	1	0.15	20	"Inside Out"	15
"140"	140	"male"	30	170.09	68.9	"yes"	"JSSFP"	8	69	0	"Jack Sparrow"	"cutlass"	1	0.18	22	"Monsters University"	12
"141"	141	"other"	31	167.26	63.3	"yes"	"JSSFP"	12	92	6	"Jack Sparrow"	"cutlass"	1	0.94	22	"WALL-E"	11
"142"	142	"female"	26	157.1	56.2	"yes"	"CCCC"	13	14	4	"Edward Low"	"cutlass"	0	0.19	0	"A Bug's Life"	16
"143"	143	"female"	29	160.15	55.5	"yes"	"CCCC"	12	35	2	"Jack Sparrow"	"cutlass"	0	1.33	0	"Finding Nemo"	11
"144"	144	"male"	31	170.28	66.9	"yes"	"JSSFP"	4	74	1	"Jack Sparrow"	"cutlass"	0	0.72	16	"Monsters University"	7
"145"	145	"other"	31	178.68	71.7	"yes"	"CCCC"	10	36	0	"Hook"	"cutlass"	1	0.96	12	"Inside Out"	11
"146"	146	"male"	26	161.51	63.7	"yes"	"CCCC"	11	7	0	"Jack Sparrow"	"cutlass"	1	0.11	21	"Up"	14
"147"	147	"female"	29	154.84	59.3	"yes"	"CCCC"	10	28	1	"Anicetus"	"cutlass"	0	0.06	0	"Finding Nemo"	10
"148"	148	"male"	19	190.82	85.2	"yes"	"CCCC"	10	24	1	"Jack Sparrow"	"cutlass"	0	0.56	13	"Finding Nemo"	11
"149"	149	"male"	13	186.85	82.5	"yes"	"CCCC"	8	5	1	"Hook"	"cutlass"	1	0.64	28	"Inside Out"	7
"150"	150	"female"	26	176.27	74.5	"yes"	"CCCC"	7	4	1	"Edward Low"	"cutlass"	1	1.25	0	"Inside Out"	9
"151"	151	"female"	31	172.18	71.2	"yes"	"JSSFP"	12	19	1	"Anicetus"	"cutlass"	1	0.67	0	"The Incredibles"	8
"152"	152	"male"	36	171.48	73.6	"yes"	"JSSFP"	9	43	1	"Lewis Scot"	"cutlass"	1	0.81	21	"Inside Out"	10
"153"	153	"female"	29	152.03	59	"yes"	"CCCC"	7	5	0	"Hook"	"cutlass"	0	0.12	0	"Finding Nemo"	11
"154"	154	"female"	34	159.16	60.8	"yes"	"JSSFP"	10	13	4	"Edward Low"	"cutlass"	1	1.75	0	"Inside Out"	6
"155"	155	"male"	22	179.91	75.8	"yes"	"CCCC"	10	18	1	"Jack Sparrow"	"cutlass"	0	0.79	16	"Toy Story 2"	2
"156"	156	"female"	26	158.18	61.5	"yes"	"CCCC"	8	21	3	"Blackbeard"	"sabre"	0	1.17	0	"Finding Nemo"	9
"157"	157	"male"	34	157.83	63.1	"yes"	"JSSFP"	19	30	5	"Edward Low"	"cutlass"	0	0.6	35	"Brave"	12
"158"	158	"male"	26	183.98	79.8	"yes"	"CCCC"	9	4	3	"Jack Sparrow"	"cutlass"	1	0.08	18	"Inside Out"	9
"159"	159	"female"	32	160.9	66.7	"yes"	"JSSFP"	12	6	4	"Anicetus"	"scimitar"	1	38.49	0	"The Incredibles"	15
"160"	160	"female"	26	167.04	70.3	"yes"	"CCCC"	7	14	1	"Lewis Scot"	"cutlass"	1	0.13	1	"Inside Out"	11
"161"	161	"male"	20	187.23	81.4	"yes"	"CCCC"	12	60	3	"Anicetus"	"sabre"	1	2.44	22	"Toy Story"	13
"162"	162	"male"	22	186.99	84.2	"yes"	"CCCC"	13	9	1	"Jack Sparrow"	"cutlass"	1	0.21	12	"Inside Out"	9
"163"	163	"male"	18	169.19	66.8	"yes"	"CCCC"	10	27	1	"Jack Sparrow"	"scimitar"	0	0.25	13	"Finding Nemo"	10
"164"	164	"male"	22	191.65	91	"yes"	"CCCC"	6	28	7	"Jack Sparrow"	"scimitar"	1	3.78	12	"Brave"	9
"165"	165	"female"	36	156.18	55.6	"yes"	"JSSFP"	13	28	4	"Hook"	"cutlass"	1	0.83	1	"Inside Out"	13
"166"	166	"male"	21	181.4	80.4	"yes"	"CCCC"	10	1	0	"Jack Sparrow"	"cutlass"	1	0.13	23	"Inside Out"	7
"167"	167	"male"	25	182.91	75.1	"yes"	"CCCC"	11	72	3	"Jack Sparrow"	"cutlass"	0	0.39	29	"Finding Nemo"	8
"168"	168	"female"	34	157.38	57.6	"yes"	"JSSFP"	11	13	1	"Hook"	"cutlass"	0	0.46	1	"Finding Nemo"	11
"169"	169	"male"	23	198.72	90.5	"yes"	"CCCC"	12	13	3	"Jack Sparrow"	"cutlass"	1	2.22	24	"Monsters University"	10
"170"	170	"female"	26	153.9	61.1	"yes"	"CCCC"	7	8	2	"Anicetus"	"cutlass"	1	0.44	1	"The Incredibles"	13
"171"	171	"male"	21	168.89	69.3	"yes"	"CCCC"	10	26	1	"Jack Sparrow"	"cutlass"	1	1.37	22	"Monsters, Inc."	8
"172"	172	"female"	28	163.18	63.8	"no"	"CCCC"	4	13	0	"Lewis Scot"	"sabre"	1	2.23	0	"Inside Out"	12
"173"	173	"male"	19	155.42	55.6	"yes"	"CCCC"	12	12	1	"Jack Sparrow"	"scimitar"	0	23.93	20	"Up"	8
"174"	174	"female"	36	147.33	47.5	"no"	"JSSFP"	2	55	4	"Jack Sparrow"	"sabre"	1	2.25	0	"Inside Out"	6
"175"	175	"male"	29	170.81	70.8	"yes"	"CCCC"	6	110	1	"Jack Sparrow"	"cutlass"	0	0.47	8	"Monsters University"	8
"176"	176	"female"	33	143.11	49.8	"yes"	"JSSFP"	11	13	4	"Edward Low"	"cutlass"	1	0.56	1	"The Incredibles"	13
"177"	177	"male"	14	190.17	79.9	"no"	"CCCC"	1	14	1	"Jack Sparrow"	"sabre"	1	0.59	13	"Inside Out"	11
"178"	178	"female"	27	148.37	52.5	"no"	"CCCC"	5	2	5	"Lewis Scot"	"scimitar"	0	4.78	0	"Finding Nemo"	7
"179"	179	"female"	33	166.17	61.7	"yes"	"JSSFP"	15	60	0	"Blackbeard"	"cutlass"	0	0.21	1	"Finding Nemo"	10
"180"	180	"male"	20	189.18	82.9	"yes"	"CCCC"	6	25	1	"Jack Sparrow"	"cutlass"	1	1.11	18	"Up"	13
"181"	181	"male"	20	179.45	74.2	"yes"	"CCCC"	7	4	1	"Jack Sparrow"	"cutlass"	1	0.41	15	"Up"	13
"182"	182	"male"	24	161.99	59.8	"yes"	"CCCC"	11	34	5	"Jack Sparrow"	"sabre"	1	4.63	20	"Cars"	12
"183"	183	"male"	34	176.75	81.8	"yes"	"JSSFP"	11	2	1	"Jack Sparrow"	"cutlass"	1	0.22	26	"Inside Out"	8
"184"	184	"male"	29	178.71	75.1	"yes"	"CCCC"	5	19	4	"Anicetus"	"cutlass"	1	0.46	12	"Toy Story 2"	11
"185"	185	"male"	35	171.74	75.9	"yes"	"JSSFP"	12	11	1	"Lewis Scot"	"cutlass"	1	2.44	21	"Finding Nemo"	11
"186"	186	"female"	27	146.73	46.2	"yes"	"CCCC"	6	15	2	"Blackbeard"	"scimitar"	1	14.94	0	"Toy Story 3"	9
"187"	187	"male"	20	170.14	68	"yes"	"CCCC"	13	10	1	"Jack Sparrow"	"cutlass"	1	0.58	25	"Inside Out"	11
"188"	188	"female"	39	180.84	75	"yes"	"JSSFP"	11	44	9	"Hook"	"cutlass"	1	0.47	0	"The Incredibles"	10
"189"	189	"female"	33	169.4	71.4	"yes"	"JSSFP"	10	58	3	"Hook"	"cutlass"	1	0.58	0	"Inside Out"	7
