"Ship"	"Beard"
"146"	"Nervous Goat"	39.9235572596008
"102"	"Nervous Goat"	0.415846404826476
"148"	"Nervous Goat"	46.3617080202506
"79"	"Fearless Snake"	20.9788537479754
"48"	"Angry Badger"	34.1560802344041
"89"	"Fearless Snake"	15.4340598488024
"64"	"Fearless Snake"	15.4317157195277
"133"	"Nervous Goat"	39.3018275858829
"5"	"Angry Badger"	19.757942607888
"15"	"Angry Badger"	24.2784428199298
"14"	"Angry Badger"	23.4018518693168
"45"	"Angry Badger"	22.277898962356
"38"	"Angry Badger"	21.9674952577756
"24"	"Angry Badger"	30.3030097557098
"65"	"Fearless Snake"	26.3238241904684
"119"	"Nervous Goat"	0.139577920028417
"93"	"Fearless Snake"	19.6580216451878
"44"	"Angry Badger"	29.8356528515755
"8"	"Angry Badger"	30.4928190568541
"91"	"Fearless Snake"	19.9881190930047
"2"	"Angry Badger"	16.4624234651213
"37"	"Angry Badger"	27.0397070242071
"140"	"Nervous Goat"	45.231134481519
"74"	"Fearless Snake"	19.4878482170362
"28"	"Angry Badger"	25.3583605015408
"63"	"Fearless Snake"	21.4999567194481
"22"	"Angry Badger"	27.2653000408716
"34"	"Angry Badger"	30.160847412022
"144"	"Nervous Goat"	43.3232914048511
"87"	"Fearless Snake"	19.9011701549111
"6"	"Angry Badger"	23.2828319354963
"128"	"Nervous Goat"	41.5474669259664
"126"	"Nervous Goat"	40.0751194084567
"49"	"Angry Badger"	31.9912172864099
"31"	"Angry Badger"	24.9616938431574
"113"	"Nervous Goat"	0.277070416034096
"78"	"Fearless Snake"	16.8616311171114
"145"	"Nervous Goat"	46.7660167852033
"18"	"Angry Badger"	18.4285880569103
"109"	"Nervous Goat"	1.59319132560063
"60"	"Fearless Snake"	20.8046676657784
"11"	"Angry Badger"	33.2505451310535
"76"	"Fearless Snake"	21.7265328820583
"99"	"Fearless Snake"	20.0893353298287
"46"	"Angry Badger"	18.1818902057489
"81"	"Fearless Snake"	20.3293281401753
"86"	"Fearless Snake"	22.3442685781853
"68"	"Fearless Snake"	18.9570114123067
"131"	"Nervous Goat"	40.164269929928
"84"	"Fearless Snake"	15.1712938825044
"40"	"Angry Badger"	24.2775593847238
"96"	"Fearless Snake"	19.9903754172918
"47"	"Angry Badger"	21.4763647481658
"134"	"Nervous Goat"	40.2019716860563
"4"	"Angry Badger"	35.0786672525207
"88"	"Fearless Snake"	20.456618378422
"98"	"Fearless Snake"	21.8982921922431
"138"	"Nervous Goat"	36.5616347677436
"116"	"Nervous Goat"	2.96182748123246
"29"	"Angry Badger"	23.4741041136416
"122"	"Nervous Goat"	3.38270146794987
"7"	"Angry Badger"	14.7064060223671
"52"	"Fearless Snake"	15.9579633536738
"103"	"Nervous Goat"	4.381232068951
"69"	"Fearless Snake"	15.7921817293627
"20"	"Angry Badger"	28.7723377030761
"147"	"Nervous Goat"	33.512587080284
"130"	"Nervous Goat"	40.8351275728605
"66"	"Fearless Snake"	18.8427365288878
"104"	"Nervous Goat"	0.290765004336006
"124"	"Nervous Goat"	6.30038471648174
"132"	"Nervous Goat"	41.2259136733199
"41"	"Angry Badger"	22.6156992675887
"108"	"Nervous Goat"	3.27883060109862
"139"	"Nervous Goat"	42.5457800334884
"16"	"Angry Badger"	22.7756835158013
"10"	"Angry Badger"	28.5558148882606
"97"	"Fearless Snake"	21.4740439071962
