"cannons"	"rooms"	"age"	"condition"	"color"	"weight"	"style"	"price"	"sold"	"jbb"
"110"	4	8	32.5	2	"black"	3754	"classic"	0	0	300
"111"	10	58	25	3	"black"	11791	"modern"	1928	1	3800
"112"	14	26	52.6	4	"black"	10556	"classic"	462	1	1200
"113"	2	47	43.7	5	"black"	6496	"classic"	573	1	1600
"114"	2	31	42.8	9	"red"	4956	"modern"	0	0	300
"115"	6	58	72.9	7	"plum"	9839	"modern"	1739	1	1200
"116"	6	12	36.6	5	"brown"	5374	"classic"	0	0	500
"117"	8	49	26.2	8	"red"	10005	"modern"	1456	1	2600
"118"	10	45	31.3	2	"brown"	10568	"modern"	1058	1	2700
"119"	4	30	59.8	3	"brown"	5820	"classic"	0	0	0
"120"	20	26	64.7	3	"black"	13612	"modern"	897	1	1200
"121"	2	31	98.4	9	"black"	5156	"classic"	0	0	0
"122"	6	27	50.2	8	"salmon"	6675	"modern"	445	1	800
"123"	6	17	67.7	9	"black"	5565	"classic"	0	0	0
"124"	12	14	52.6	6	"red"	8234	"classic"	0	0	0
"125"	4	17	26.9	3	"black"	4828	"modern"	0	0	1100
"126"	6	37	83.8	1	"black"	7599	"classic"	0	0	0
"127"	14	35	39.8	8	"brown"	11471	"classic"	1463	1	2300
"128"	18	37	39	3	"brown"	13855	"modern"	1631	1	2800
"129"	14	51	43.9	6	"brown"	13165	"modern"	2184	1	2900
"130"	2	14	69.8	7	"red"	3300	"classic"	0	0	0
"131"	12	16	31.7	8	"black"	8604	"modern"	555	1	1700
"132"	6	31	53.6	7	"red"	7269	"modern"	0	0	100
"133"	18	35	54	4	"brown"	13397	"classic"	1755	1	1900
"134"	2	29	81.3	7	"black"	4927	"classic"	0	0	0
"135"	20	3	76.5	5	"black"	11392	"classic"	112	1	0
"136"	6	5	45.8	5	"black"	4499	"modern"	0	0	0
"137"	6	40	43.4	4	"brown"	8020	"modern"	602	1	1500
"138"	10	31	66.1	3	"black"	9206	"classic"	0	0	400
"139"	8	20	86.8	4	"black"	6872	"classic"	0	0	0
"140"	16	31	37.9	4	"brown"	12160	"classic"	1170	1	2300
"141"	10	12	32.8	5	"black"	7292	"modern"	144	1	1200
"142"	4	17	23.6	5	"salmon"	4721	"modern"	0	0	1400
"143"	8	34	48.9	7	"brown"	8489	"classic"	618	1	1200
"144"	6	27	46.6	7	"red"	6851	"modern"	0	0	300
"145"	12	36	68.7	7	"black"	10614	"classic"	1292	1	800
"146"	2	30	44.3	3	"brown"	4875	"classic"	0	0	500
"147"	10	26	43.8	8	"brown"	8485	"classic"	1101	1	1300
"148"	6	42	73.6	7	"black"	8287	"modern"	627	1	300
"149"	4	18	82.1	4	"plum"	4772	"classic"	0	0	0
"150"	12	31	33.9	8	"black"	10240	"modern"	1342	1	2300
"151"	12	48	41.8	8	"red"	11791	"modern"	1635	1	2200
"152"	14	24	67.3	10	"black"	10445	"modern"	1322	1	500
"153"	18	13	56.9	4	"black"	11425	"classic"	292	1	800
"154"	8	14	55.9	6	"brown"	6455	"classic"	75	1	0
"155"	8	53	32.3	2	"black"	10293	"classic"	1429	1	3000
"156"	16	43	39.9	9	"red"	13087	"classic"	1733	1	2400
"157"	2	38	43.3	4	"black"	5847	"modern"	0	0	1100
"158"	4	18	57.8	7	"brown"	4867	"modern"	0	0	0
"159"	2	29	48.3	2	"red"	5098	"classic"	0	0	0
"160"	10	58	26.1	5	"red"	11866	"modern"	1433	1	3200
"161"	10	32	88.2	7	"brown"	9404	"classic"	458	1	0
"162"	18	36	35.9	6	"brown"	13606	"classic"	2038	1	2900
"163"	10	28	80.9	6	"black"	8668	"classic"	358	1	0
"164"	14	24	63.3	10	"black"	10449	"classic"	801	1	700
"165"	12	42	69	4	"brown"	11182	"classic"	1199	1	900
"166"	8	26	32.7	7	"black"	7590	"modern"	319	1	1700
"167"	4	27	72.1	4	"brown"	5696	"classic"	0	0	0
"168"	6	31	5.7	3	"black"	7231	"modern"	749	1	3000
"169"	6	45	53.3	2	"brown"	8585	"modern"	633	1	1200
"170"	16	40	24.9	6	"brown"	13226	"modern"	1763	1	3500
"171"	14	37	15.7	7	"plum"	11692	"modern"	2045	1	3800
"172"	8	13	56.1	7	"red"	6347	"classic"	0	0	0
"173"	2	27	91.7	9	"black"	4581	"classic"	0	0	0
"174"	20	22	31.6	4	"plum"	13296	"modern"	1689	1	2800
"175"	2	50	49.2	8	"black"	7079	"classic"	1284	1	1500
"176"	10	39	58	9	"black"	9921	"modern"	1333	1	1300
"177"	6	50	53.3	9	"black"	8885	"classic"	1752	1	1700
"178"	4	17	50.5	5	"black"	4684	"modern"	0	0	0
"179"	12	52	29.4	6	"black"	12065	"classic"	2165	1	3500
"180"	10	32	26.6	6	"black"	9128	"modern"	859	1	2500
"181"	14	53	46.9	4	"plum"	13306	"classic"	2281	1	3000
"182"	6	25	43.4	5	"red"	6520	"modern"	0	0	300
"183"	12	39	71.6	8	"black"	11100	"classic"	1134	1	800
"184"	4	6	75.1	5	"black"	3679	"classic"	0	0	0
"185"	10	50	33.3	10	"red"	10931	"modern"	1486	1	2500
"186"	10	34	43.6	7	"brown"	9333	"classic"	546	1	1700
"187"	8	25	30	10	"black"	7505	"modern"	908	1	1800
"188"	12	26	92.7	6	"brown"	9659	"classic"	214	1	0
"189"	6	20	45.6	6	"black"	6184	"modern"	0	0	500
"190"	12	29	17.1	5	"black"	9996	"modern"	993	1	3000
"191"	6	24	67	3	"brown"	6324	"classic"	0	0	0
"192"	20	36	49.3	8	"brown"	14552	"modern"	2413	1	2500
"193"	16	8	37.1	5	"salmon"	9711	"modern"	327	1	1400
"194"	2	25	12	7	"black"	4574	"modern"	145	1	2100
"195"	14	39	84.9	7	"black"	12010	"classic"	1476	1	300
"196"	6	29	13.9	9	"red"	6874	"modern"	456	1	2000
"197"	4	29	57.8	9	"black"	5802	"classic"	263	1	200
"198"	8	48	57.8	2	"brown"	9877	"classic"	894	1	1400
"199"	10	47	40	1	"black"	10695	"modern"	864	1	2500
"200"	8	41	51.7	7	"black"	8959	"classic"	1216	1	1500
"201"	6	53	50.9	9	"black"	9304	"classic"	2072	1	2000
"202"	2	27	32.3	3	"brown"	4675	"modern"	0	0	1000
"203"	12	24	71	4	"black"	9453	"classic"	119	1	0
"204"	14	9	38.8	7	"black"	8930	"modern"	517	1	1100
"205"	4	5	42.1	6	"black"	3453	"modern"	0	0	0
"206"	4	25	32.4	8	"black"	5586	"modern"	63	1	1300
"207"	4	8	50	5	"salmon"	4055	"classic"	0	0	0
"208"	6	13	41.5	1	"brown"	5426	"modern"	0	0	200
"209"	10	34	66.4	6	"brown"	9300	"classic"	670	1	500
"210"	16	48	67.2	7	"black"	13778	"classic"	2296	1	1900
"211"	2	19	33.8	5	"red"	3996	"modern"	0	0	100
"212"	6	35	40.4	6	"black"	7393	"modern"	1014	1	1600
"213"	8	28	18.2	3	"black"	7801	"modern"	470	1	2500
"214"	4	51	87	5	"brown"	8044	"classic"	430	1	0
"215"	18	35	33.6	4	"brown"	13549	"modern"	1191	1	3000
"216"	12	8	35	8	"brown"	7720	"modern"	91	1	1000
"217"	12	27	58	4	"red"	9599	"classic"	132	1	200
"218"	8	27	47.2	5	"black"	7851	"classic"	522	1	1000
"219"	8	30	51.1	5	"black"	7895	"modern"	638	1	900
"220"	6	10	24	4	"brown"	4955	"modern"	0	0	1000
"221"	6	27	59	4	"brown"	6569	"modern"	0	0	100
"222"	2	55	42.5	5	"black"	7474	"modern"	979	1	2000
"223"	2	42	65.3	4	"red"	6325	"classic"	0	0	0
"224"	6	32	59.9	3	"black"	7129	"classic"	0	0	400
"225"	12	51	69.5	3	"black"	12241	"classic"	1364	1	1400
"226"	2	7	61.4	7	"black"	2620	"classic"	0	0	0
"227"	10	35	61.1	7	"black"	9698	"classic"	1075	1	900
"228"	2	49	58.2	7	"salmon"	6970	"classic"	896	1	1100
"229"	14	19	32.3	9	"black"	9903	"modern"	994	1	2000
"230"	16	22	48	9	"plum"	11331	"classic"	1306	1	1700
"231"	6	36	56.2	7	"black"	7585	"modern"	501	1	800
"232"	18	29	42.8	10	"black"	12895	"modern"	2026	1	2400
"233"	6	15	32.8	3	"black"	5632	"modern"	0	0	900
"234"	16	54	48.6	5	"black"	14416	"modern"	2667	1	3100
"235"	18	38	22.2	4	"black"	13690	"modern"	2133	1	3800
"236"	16	37	16.5	5	"red"	12750	"modern"	1155	1	3200
"237"	14	26	29.8	4	"black"	10632	"modern"	702	1	2400
"238"	6	14	59	9	"red"	5295	"classic"	0	0	0
"239"	2	27	34.5	6	"brown"	4641	"classic"	10	1	900
"240"	2	27	73.2	6	"brown"	4815	"classic"	0	0	0
"241"	16	41	66.7	8	"black"	13116	"modern"	1579	1	1600
"242"	14	37	93.5	7	"brown"	11615	"classic"	1267	1	0
"243"	6	20	62.4	6	"black"	5971	"classic"	0	0	0
"244"	2	24	25.2	7	"black"	4385	"modern"	0	0	1400
"245"	8	39	67.8	5	"black"	8939	"classic"	849	1	600
"246"	6	45	52.4	5	"black"	8436	"modern"	1045	1	1400
"247"	2	23	34.4	7	"brown"	4397	"modern"	0	0	800
"248"	8	29	8.3	7	"brown"	7995	"modern"	863	1	3000
"249"	10	13	46.7	8	"brown"	7327	"modern"	226	1	500
"250"	8	43	37.4	5	"black"	9434	"modern"	867	1	2300
"251"	10	30	74.2	10	"red"	9030	"classic"	326	1	0
"252"	14	13	28.1	5	"plum"	9363	"modern"	530	1	1900
"253"	6	32	33.6	2	"black"	7250	"modern"	13	1	1700
"254"	12	47	44.7	10	"brown"	11572	"modern"	2079	1	2500
"255"	4	27	55.1	2	"black"	5832	"modern"	0	0	100
"256"	4	45	62.7	1	"black"	7397	"classic"	46	1	600
"257"	12	42	44	3	"black"	11157	"modern"	1409	1	2300
"258"	2	27	32.3	5	"brown"	4635	"modern"	0	0	1000
"259"	20	12	74.5	3	"black"	12244	"classic"	341	1	0
"260"	12	31	81.9	5	"black"	10088	"classic"	548	1	0
"261"	8	48	45.7	4	"brown"	9839	"modern"	1197	1	2000
"262"	18	32	51.8	6	"red"	13110	"classic"	1117	1	1400
"263"	8	45	37.5	2	"red"	9612	"modern"	351	1	1700
"264"	6	36	30.6	5	"brown"	7681	"modern"	727	1	2000
"265"	2	11	55.5	8	"black"	3036	"classic"	0	0	0
"266"	8	26	66.6	7	"red"	7442	"classic"	0	0	0
"267"	10	50	45.1	7	"black"	10837	"modern"	2107	1	2500
"268"	4	28	45.3	7	"brown"	5784	"classic"	121	1	700
"269"	6	36	49.8	6	"black"	7712	"modern"	788	1	1100
"270"	18	38	51.3	10	"brown"	14059	"modern"	2267	1	2300
"271"	18	19	60.2	5	"black"	11841	"modern"	748	1	900
"272"	12	41	47.9	4	"brown"	11196	"modern"	1358	1	1900
"273"	8	40	25.9	6	"black"	8926	"modern"	1409	1	2700
"274"	6	24	53.6	6	"black"	6360	"modern"	0	0	300
"275"	4	19	13.5	4	"plum"	4887	"modern"	0	0	2000
"276"	12	28	32.5	7	"black"	9801	"classic"	1192	1	2200
"277"	8	45	58	8	"plum"	9422	"modern"	1605	1	1500
"278"	6	24	62.9	6	"black"	6513	"classic"	183	1	0
"279"	20	30	69.7	8	"salmon"	14004	"modern"	1169	1	1400
"280"	6	35	44.7	6	"black"	7437	"classic"	776	1	1300
"281"	8	23	0	6	"red"	7293	"modern"	37	1	2600
"282"	18	21	62.7	7	"brown"	12040	"classic"	921	1	900
"283"	4	19	50.4	3	"brown"	4873	"classic"	0	0	0
"284"	6	35	43.5	6	"black"	7663	"modern"	746	1	1400
"285"	4	14	52.9	5	"brown"	4367	"classic"	0	0	0
"286"	6	41	80.9	6	"black"	8115	"classic"	423	1	0
"287"	4	37	48	6	"black"	6589	"modern"	755	1	1100
"288"	14	22	49.4	8	"black"	10103	"classic"	885	1	1300
"289"	4	39	15	6	"black"	6963	"modern"	525	1	2800
"290"	2	40	48.9	2	"brown"	6097	"classic"	234	1	800
"291"	14	17	75.7	4	"black"	9517	"classic"	0	0	0
"292"	4	44	69.1	5	"black"	7383	"classic"	146	1	300
"293"	12	36	89.8	9	"black"	10619	"classic"	1109	1	0
"294"	4	38	46.2	1	"brown"	6800	"modern"	36	1	1000
"295"	6	28	47.3	8	"black"	6752	"modern"	350	1	900
"296"	12	34	34.7	4	"black"	10435	"modern"	1143	1	2300
"297"	14	43	60.7	3	"red"	12442	"classic"	704	1	1100
"298"	2	36	22.2	9	"brown"	5694	"modern"	484	1	2100
"299"	2	46	58	4	"plum"	6633	"classic"	395	1	900
"300"	2	60	44.5	7	"red"	8091	"modern"	1008	1	1600
"301"	18	35	42.2	8	"brown"	13668	"modern"	2029	1	2600
"302"	2	40	71.2	3	"black"	5886	"classic"	0	0	0
"303"	18	33	31.9	3	"black"	13207	"modern"	1540	1	3000
"304"	16	17	37.7	7	"plum"	10742	"modern"	987	1	1900
"305"	2	34	20.9	7	"plum"	5215	"modern"	918	1	2200
"306"	16	55	67.1	8	"red"	14449	"classic"	2211	1	1700
"307"	12	23	13.3	5	"black"	9468	"modern"	888	1	2900
"308"	6	10	23.1	6	"black"	5208	"modern"	0	0	1200
"309"	8	25	47.4	4	"plum"	7391	"modern"	91	1	1000
"310"	2	42	24.4	8	"red"	6049	"modern"	319	1	1700
"311"	2	37	78.8	4	"black"	5496	"classic"	92	1	0
"312"	8	26	72.1	7	"brown"	7733	"classic"	320	1	0
"313"	10	34	55.8	4	"black"	9449	"modern"	734	1	1100
"314"	4	23	42.6	10	"brown"	5199	"modern"	106	1	600
"315"	6	48	67.9	7	"black"	8933	"classic"	1147	1	800
"316"	4	43	70.9	6	"black"	7261	"classic"	316	1	200
"317"	12	22	24.6	4	"red"	9231	"modern"	191	1	1600
"318"	6	20	58.3	2	"brown"	6224	"classic"	0	0	0
"319"	4	36	67.6	2	"plum"	6550	"classic"	0	0	100
"320"	6	39	31.3	2	"salmon"	7720	"modern"	868	1	2200
"321"	2	41	38.1	8	"red"	6005	"modern"	121	1	1000
"322"	10	16	59.7	3	"black"	7577	"classic"	0	0	0
"323"	12	36	40	9	"black"	10557	"classic"	1774	1	2300
"324"	6	34	62.6	10	"plum"	7102	"classic"	647	1	600
"325"	6	7	33.8	5	"brown"	4568	"modern"	0	0	400
"326"	8	16	93.8	5	"black"	6744	"classic"	0	0	0
"327"	12	32	36.6	4	"black"	10271	"modern"	770	1	2100
"328"	4	37	21	6	"plum"	6716	"modern"	1160	1	2500
"329"	14	6	18.4	5	"black"	8464	"modern"	116	1	2000
"330"	16	34	52.2	7	"black"	12291	"classic"	1667	1	1900
"331"	12	43	44.9	6	"brown"	11295	"modern"	1454	1	2200
"332"	6	39	28	5	"black"	8055	"modern"	721	1	2400
"333"	4	16	15	6	"brown"	4594	"modern"	0	0	1600
"334"	6	14	65.7	6	"red"	5407	"classic"	0	0	0
"335"	2	39	19.9	5	"brown"	5857	"modern"	251	1	2300
"336"	8	45	37.7	8	"black"	9502	"modern"	1642	1	2400
"337"	6	43	79.6	6	"brown"	8298	"classic"	203	1	0
"338"	8	37	24.9	2	"black"	8781	"modern"	652	1	2500
"339"	14	34	91.2	6	"black"	11402	"classic"	563	1	0
"340"	6	47	30.6	5	"brown"	8644	"classic"	1082	1	2500
"341"	16	49	59.1	2	"brown"	13766	"classic"	1588	1	2100
"342"	14	32	58.1	5	"black"	11182	"classic"	1429	1	1300
"343"	12	37	21.9	4	"black"	10647	"modern"	1333	1	3100
"344"	4	47	112.5	2	"black"	7675	"classic"	0	0	0
"345"	2	28	49.3	6	"black"	4997	"modern"	0	0	400
"346"	4	33	85	6	"red"	6061	"classic"	0	0	0
"347"	2	26	60	5	"black"	4521	"classic"	0	0	0
"348"	14	11	70.5	4	"brown"	9045	"classic"	0	0	0
"349"	14	26	72	2	"brown"	10872	"classic"	0	0	100
"350"	2	43	1.9	8	"black"	6367	"modern"	1238	1	3500
"351"	6	40	58.4	4	"brown"	8125	"classic"	233	1	800
"352"	4	36	33.2	8	"black"	6548	"classic"	690	1	1800
"353"	12	37	85.5	3	"brown"	10620	"classic"	444	1	0
"354"	2	19	38.2	4	"brown"	4006	"classic"	0	0	300
"355"	2	26	28.8	3	"red"	4519	"modern"	0	0	600
"356"	12	16	38.3	7	"brown"	8697	"modern"	422	1	1200
"357"	6	43	22.8	5	"black"	8378	"modern"	1068	1	2800
"358"	6	34	79.5	4	"black"	7281	"classic"	0	0	0
"359"	18	41	42.5	2	"plum"	14042	"classic"	1844	1	3000
"360"	2	46	43.2	6	"brown"	6468	"modern"	235	1	1500
"361"	10	34	79.1	5	"red"	9529	"classic"	225	1	0
"362"	12	8	27.9	8	"black"	7697	"modern"	136	1	1500
"363"	2	29	15.8	3	"black"	4770	"modern"	34	1	2000
"364"	10	11	85.4	8	"black"	7077	"classic"	0	0	0
"365"	12	55	28	8	"black"	12422	"modern"	2499	1	3800
"366"	10	48	30.2	9	"black"	10919	"modern"	2150	1	3200
"367"	8	50	29.5	5	"brown"	10045	"classic"	1288	1	2900
"368"	14	49	70.2	6	"black"	12731	"classic"	1688	1	1600
"369"	2	38	57.2	3	"black"	5845	"modern"	181	1	400
"370"	2	43	74.3	7	"black"	6262	"classic"	77	1	0
"371"	4	30	52.2	3	"brown"	5998	"classic"	0	0	400
"372"	16	48	76	5	"red"	13772	"classic"	1432	1	800
"373"	12	47	64	6	"brown"	11743	"classic"	1218	1	1500
"374"	12	26	96.8	8	"brown"	9653	"classic"	118	1	0
"375"	8	53	59.7	7	"black"	10210	"classic"	1692	1	1700
"376"	4	35	58.1	3	"red"	6557	"classic"	0	0	0
"377"	18	21	60.1	6	"red"	11974	"classic"	640	1	500
"378"	6	27	37.4	10	"plum"	6640	"modern"	887	1	1500
"379"	14	21	24.4	4	"black"	10072	"modern"	11	1	2400
"380"	16	57	55.5	4	"red"	14597	"modern"	1909	1	2300
"381"	10	47	53.9	1	"brown"	10718	"classic"	959	1	1700
"382"	12	26	46.1	2	"black"	9435	"classic"	298	1	1300
"383"	4	48	41.2	5	"red"	7731	"classic"	727	1	1300
"384"	12	32	13.2	6	"black"	10136	"classic"	1696	1	3400
"385"	2	15	55.9	3	"black"	3497	"modern"	0	0	0
"386"	4	34	63.1	5	"salmon"	6266	"classic"	87	1	200
"387"	8	19	54.2	4	"black"	6766	"modern"	71	1	200
"388"	10	12	34.1	9	"brown"	7195	"classic"	1	1	1100
"389"	10	41	68.3	5	"black"	10235	"classic"	715	1	800
"390"	4	29	9	10	"black"	5841	"modern"	570	1	2700
"391"	16	10	51.4	2	"salmon"	10122	"modern"	156	1	800
"392"	6	37	61.8	6	"black"	7722	"classic"	359	1	600
"393"	2	47	35.4	9	"red"	6801	"modern"	771	1	1500
"394"	10	26	36	6	"salmon"	8628	"modern"	872	1	1800
"395"	2	31	81.2	5	"plum"	5075	"classic"	0	0	0
"396"	2	52	50.8	5	"black"	7138	"modern"	592	1	1500
"397"	12	22	30.8	1	"brown"	8946	"modern"	322	1	1800
"398"	16	39	51.2	5	"black"	12837	"modern"	1646	1	2200
"399"	8	31	46	5	"black"	8008	"classic"	0	0	1200
"400"	8	42	76.2	2	"red"	9125	"classic"	100	1	0
"401"	20	15	43.2	1	"black"	12424	"classic"	219	1	1700
"402"	2	33	59.8	8	"black"	5411	"classic"	0	0	100
"403"	12	33	70.9	7	"black"	10033	"classic"	1247	1	500
"404"	12	40	36.9	7	"red"	11006	"modern"	697	1	2000
"405"	6	37	74.8	4	"black"	7714	"classic"	113	1	0
"406"	2	35	28.3	5	"brown"	5393	"modern"	65	1	1600
"407"	6	18	59.5	4	"red"	5950	"classic"	0	0	0
"408"	6	30	56.7	8	"black"	6959	"modern"	348	1	500
"409"	4	8	76.3	7	"black"	3894	"classic"	0	0	0
"410"	4	40	62.4	3	"black"	6945	"modern"	0	0	400
"411"	6	40	51.8	5	"brown"	8239	"modern"	659	1	1100
"412"	6	15	63.5	7	"black"	5457	"classic"	0	0	0
"413"	2	34	12.5	4	"black"	5432	"modern"	390	1	2500
"414"	8	28	70	8	"black"	7782	"classic"	82	1	0
"415"	12	27	33.3	7	"brown"	9806	"modern"	1163	1	2000
"416"	6	55	40.6	10	"black"	9497	"modern"	2192	1	2600
"417"	2	42	45.8	8	"black"	6336	"classic"	667	1	1300
"418"	10	54	44.3	5	"plum"	11361	"modern"	2015	1	2800
"419"	6	15	15.4	7	"black"	5638	"modern"	236	1	1800
"420"	10	19	57.6	5	"black"	7986	"classic"	0	0	300
"421"	14	39	23	2	"brown"	11742	"modern"	1177	1	3200
