"id"	"sex"	"headband"	"age"	"college"	"tattoos"	"tchests"	"parrots"	"favorite.pirate"	"sword.type"	"sword.time"	"eyepatch"	"beard.length"	"fav.pixar"
"20"	20	"female"	"yes"	30	"JSSFP"	8	2	1	"Edward Low"	"cutlass"	2.18	0	1	"Finding Nemo"
"21"	21	"female"	"yes"	25	"CCCC"	13	11	2	"Blackbeard"	"cutlass"	1.58	1	0	"Inside Out"
"22"	22	"female"	"yes"	34	"JSSFP"	7	5	1	"Hook"	"cutlass"	0.93	0	0	"Finding Nemo"
"23"	23	"male"	"yes"	24	"CCCC"	3	9	6	"Jack Sparrow"	"cutlass"	0.62	1	14	"Toy Story 2"
"24"	24	"female"	"yes"	24	"CCCC"	9	13	1	"Anicetus"	"cutlass"	0.04	1	1	"Inside Out"
"25"	25	"female"	"yes"	35	"JSSFP"	10	5	7	"Edward Low"	"cutlass"	1.23	1	2	"Up"
"26"	26	"male"	"yes"	35	"JSSFP"	13	13	5	"Jack Sparrow"	"cutlass"	2.26	1	23	"Inside Out"
"27"	27	"male"	"yes"	20	"CCCC"	12	4	0	"Jack Sparrow"	"cutlass"	1.17	0	26	"Finding Nemo"
"28"	28	"male"	"yes"	25	"CCCC"	10	13	0	"Jack Sparrow"	"cutlass"	0.36	0	23	"Finding Nemo"
"29"	29	"male"	"no"	18	"CCCC"	8	6	1	"Jack Sparrow"	"banana"	11.45	1	28	"Inside Out"
"30"	30	"male"	"yes"	17	"CCCC"	10	12	3	"Jack Sparrow"	"cutlass"	0.82	1	21	"The Incredibles"
"31"	31	"female"	"yes"	26	"CCCC"	8	5	1	"Lewis Scot"	"cutlass"	1.16	1	0	"Inside Out"
"32"	32	"female"	"yes"	31	"JSSFP"	10	9	2	"Jack Sparrow"	"cutlass"	0.74	0	1	"Finding Nemo"
"33"	33	"female"	"yes"	32	"CCCC"	9	8	1	"Lewis Scot"	"cutlass"	0.52	1	0	"Inside Out"
"34"	34	"female"	"yes"	30	"JSSFP"	6	0	2	"Edward Low"	"cutlass"	1.83	0	2	"Finding Nemo"
"35"	35	"male"	"yes"	36	"JSSFP"	11	6	4	"Jack Sparrow"	"cutlass"	0.36	1	26	"Monsters, Inc."
"36"	36	"male"	"yes"	25	"CCCC"	5	0	3	"Anicetus"	"sabre"	6	1	7	"Up"
"37"	37	"male"	"yes"	21	"CCCC"	8	1	4	"Anicetus"	"cutlass"	0.09	1	10	"Inside Out"
"38"	38	"male"	"yes"	30	"CCCC"	7	3	0	"Jack Sparrow"	"cutlass"	0.32	1	22	"Toy Story 3"
"39"	39	"female"	"yes"	23	"CCCC"	11	1	0	"Edward Low"	"scimitar"	2.51	0	0	"Monsters University"
"40"	40	"female"	"yes"	28	"CCCC"	11	1	2	"Hook"	"cutlass"	0.6	1	0	"Inside Out"
"41"	41	"male"	"yes"	20	"CCCC"	11	11	1	"Jack Sparrow"	"cutlass"	0.23	1	13	"Monsters, Inc."
"42"	42	"female"	"yes"	31	"JSSFP"	11	5	1	"Edward Low"	"cutlass"	0.76	0	0	"Toy Story 2"
"43"	43	"male"	"no"	23	"CCCC"	3	9	1	"Blackbeard"	"sabre"	1.01	0	15	"Toy Story 3"
"44"	44	"male"	"yes"	19	"CCCC"	12	5	0	"Jack Sparrow"	"cutlass"	0.71	1	25	"Inside Out"
"45"	45	"female"	"yes"	32	"JSSFP"	10	2	2	"Edward Low"	"cutlass"	7.19	1	0	"Inside Out"
"46"	46	"male"	"no"	20	"CCCC"	6	5	0	"Jack Sparrow"	"sabre"	1.97	0	12	"Toy Story 2"
"47"	47	"male"	"yes"	22	"CCCC"	12	1	8	"Jack Sparrow"	"cutlass"	0.41	0	31	"The Incredibles"
"48"	48	"female"	"yes"	25	"CCCC"	11	7	6	"Hook"	"cutlass"	0.04	0	0	"WALL-E"
"49"	49	"female"	"yes"	29	"CCCC"	10	1	2	"Hook"	"cutlass"	0.51	1	0	"Inside Out"
"50"	50	"female"	"yes"	29	"CCCC"	10	7	1	"Anicetus"	"cutlass"	0.69	1	0	"Monsters University"
"51"	51	"female"	"yes"	30	"JSSFP"	13	2	1	"Anicetus"	"sabre"	1.18	0	0	"Finding Nemo"
"52"	52	"female"	"yes"	34	"JSSFP"	11	23	4	"Edward Low"	"cutlass"	0.48	1	0	"Inside Out"
"53"	53	"male"	"yes"	24	"CCCC"	11	3	0	"Jack Sparrow"	"cutlass"	1.37	0	16	"Monsters, Inc."
"54"	54	"male"	"yes"	22	"CCCC"	9	3	1	"Jack Sparrow"	"cutlass"	0.35	1	24	"The Incredibles"
"55"	55	"male"	"yes"	18	"CCCC"	10	0	2	"Jack Sparrow"	"cutlass"	1.62	1	24	"The Incredibles"
"56"	56	"male"	"yes"	18	"CCCC"	11	5	0	"Jack Sparrow"	"cutlass"	1.16	0	19	"Finding Nemo"
"57"	57	"female"	"yes"	34	"JSSFP"	9	1	0	"Anicetus"	"cutlass"	0.01	0	0	"Finding Nemo"
"58"	58	"other"	"yes"	23	"CCCC"	13	5	2	"Edward Low"	"cutlass"	0.75	1	24	"Inside Out"
"59"	59	"female"	"yes"	27	"CCCC"	11	14	2	"Lewis Scot"	"cutlass"	0.94	0	0	"Finding Nemo"
"60"	60	"female"	"yes"	28	"CCCC"	14	10	8	"Jack Sparrow"	"cutlass"	0.3	1	0	"Up"
"61"	61	"female"	"yes"	33	"JSSFP"	12	14	5	"Hook"	"cutlass"	0.46	0	2	"Finding Nemo"
"62"	62	"female"	"yes"	31	"JSSFP"	7	5	7	"Jack Sparrow"	"cutlass"	0.48	1	0	"Inside Out"
"63"	63	"female"	"yes"	37	"JSSFP"	10	1	3	"Hook"	"cutlass"	0.07	1	0	"The Incredibles"
"64"	64	"male"	"no"	27	"CCCC"	2	4	4	"Jack Sparrow"	"banana"	7.77	1	18	"Monsters, Inc."
"65"	65	"female"	"yes"	25	"CCCC"	12	1	2	"Lewis Scot"	"cutlass"	0.98	1	1	"Toy Story"
"66"	66	"female"	"yes"	28	"JSSFP"	4	4	2	"Jack Sparrow"	"cutlass"	0.61	1	0	"Inside Out"
"67"	67	"female"	"no"	28	"CCCC"	5	5	1	"Lewis Scot"	"scimitar"	5.17	1	2	"Inside Out"
"68"	68	"male"	"yes"	21	"CCCC"	12	4	0	"Hook"	"cutlass"	0.35	1	21	"Inside Out"
"69"	69	"female"	"yes"	30	"CCCC"	9	7	1	"Blackbeard"	"cutlass"	0.42	0	0	"Finding Nemo"
"70"	70	"male"	"no"	21	"CCCC"	6	5	1	"Edward Low"	"banana"	18.88	1	11	"Inside Out"
"71"	71	"male"	"yes"	20	"CCCC"	8	3	0	"Jack Sparrow"	"cutlass"	0.25	1	13	"Up"
"72"	72	"female"	"no"	31	"JSSFP"	4	4	1	"Jack Sparrow"	"banana"	9.08	0	0	"Up"
"73"	73	"male"	"yes"	34	"JSSFP"	13	12	2	"Jack Sparrow"	"cutlass"	1.1	1	28	"Toy Story 3"
"74"	74	"female"	"no"	32	"JSSFP"	3	14	0	"Edward Low"	"sabre"	0	0	1	"Finding Nemo"
"75"	75	"female"	"yes"	30	"CCCC"	5	1	2	"Hook"	"cutlass"	0.83	0	0	"Cars 2"
"76"	76	"female"	"yes"	27	"CCCC"	14	1	1	"Blackbeard"	"cutlass"	0.02	0	1	"Finding Nemo"
"77"	77	"female"	"yes"	28	"CCCC"	8	0	3	"Edward Low"	"cutlass"	0.13	0	1	"Cars 2"
"78"	78	"male"	"yes"	25	"CCCC"	9	12	2	"Jack Sparrow"	"cutlass"	0.6	1	19	"Inside Out"
"79"	79	"male"	"yes"	28	"CCCC"	9	3	0	"Jack Sparrow"	"cutlass"	1.17	0	13	"Finding Nemo"
"80"	80	"male"	"yes"	25	"CCCC"	12	18	2	"Hook"	"cutlass"	1.07	0	17	"Finding Nemo"
"81"	81	"other"	"no"	39	"JSSFP"	5	9	1	"Hook"	"cutlass"	0.95	1	9	"WALL-E"
"82"	82	"male"	"yes"	22	"CCCC"	8	6	7	"Blackbeard"	"cutlass"	0.78	0	23	"Monsters, Inc."
"83"	83	"male"	"yes"	24	"CCCC"	9	5	0	"Edward Low"	"cutlass"	1.15	0	23	"Finding Nemo"
"84"	84	"male"	"yes"	17	"CCCC"	9	6	0	"Jack Sparrow"	"cutlass"	0.43	0	20	"Up"
"85"	85	"male"	"no"	30	"CCCC"	3	10	0	"Hook"	"scimitar"	8.19	1	1	"Monsters University"
"86"	86	"female"	"yes"	31	"JSSFP"	9	3	0	"Edward Low"	"cutlass"	1.6	1	0	"Inside Out"
"87"	87	"male"	"no"	23	"CCCC"	8	2	5	"Jack Sparrow"	"sabre"	3.8	1	20	"Inside Out"
"88"	88	"male"	"yes"	29	"JSSFP"	12	4	7	"Jack Sparrow"	"cutlass"	0.15	0	18	"Finding Nemo"
"89"	89	"female"	"yes"	27	"CCCC"	6	1	2	"Blackbeard"	"cutlass"	2.6	1	1	"WALL-E"
"90"	90	"female"	"yes"	26	"CCCC"	11	9	8	"Blackbeard"	"cutlass"	0.75	1	0	"The Incredibles"
"91"	91	"female"	"yes"	20	"CCCC"	8	3	0	"Blackbeard"	"cutlass"	0.6	1	0	"Inside Out"
"92"	92	"male"	"yes"	25	"CCCC"	1	5	6	"Jack Sparrow"	"cutlass"	0.6	0	8	"A Bug's Life"
"93"	93	"male"	"yes"	38	"JSSFP"	7	5	10	"Jack Sparrow"	"cutlass"	1.69	1	18	"Inside Out"
"94"	94	"female"	"yes"	37	"JSSFP"	7	1	10	"Lewis Scot"	"cutlass"	0.04	1	0	"Inside Out"
"95"	95	"male"	"yes"	16	"CCCC"	10	8	0	"Lewis Scot"	"cutlass"	0.1	1	15	"Inside Out"
"96"	96	"male"	"yes"	21	"CCCC"	5	1	2	"Jack Sparrow"	"cutlass"	0.34	1	17	"Inside Out"
"97"	97	"female"	"yes"	30	"CCCC"	15	1	2	"Jack Sparrow"	"cutlass"	1.06	1	1	"Brave"
"98"	98	"male"	"yes"	24	"CCCC"	11	5	1	"Jack Sparrow"	"sabre"	5.5	1	28	"Inside Out"
"99"	99	"male"	"yes"	23	"CCCC"	8	9	3	"Edward Low"	"cutlass"	0.85	1	20	"Inside Out"
"100"	100	"male"	"yes"	27	"CCCC"	17	3	0	"Anicetus"	"cutlass"	1.63	1	34	"Inside Out"
"101"	101	"female"	"yes"	37	"JSSFP"	8	3	0	"Lewis Scot"	"cutlass"	0.96	1	1	"Inside Out"
"102"	102	"female"	"yes"	34	"JSSFP"	10	1	2	"Hook"	"cutlass"	0.37	0	2	"Finding Nemo"
"103"	103	"male"	"yes"	19	"CCCC"	6	1	3	"Jack Sparrow"	"cutlass"	0.66	1	18	"Cars"
"104"	104	"female"	"yes"	30	"CCCC"	15	15	5	"Hook"	"cutlass"	0.02	0	0	"Finding Nemo"
"105"	105	"male"	"yes"	33	"JSSFP"	10	7	0	"Jack Sparrow"	"cutlass"	0.66	1	22	"Cars 2"
"106"	106	"male"	"yes"	30	"JSSFP"	12	3	4	"Jack Sparrow"	"cutlass"	0.44	1	20	"Inside Out"
"107"	107	"female"	"yes"	30	"JSSFP"	17	8	3	"Edward Low"	"cutlass"	0.04	1	0	"WALL-E"
"108"	108	"male"	"yes"	20	"CCCC"	9	8	1	"Jack Sparrow"	"cutlass"	0.29	0	10	"Finding Nemo"
"109"	109	"male"	"yes"	32	"CCCC"	11	3	8	"Jack Sparrow"	"cutlass"	0.23	1	33	"Monsters, Inc."
"110"	110	"female"	"yes"	33	"JSSFP"	12	11	1	"Anicetus"	"cutlass"	0.23	1	0	"Monsters University"
"111"	111	"male"	"yes"	31	"JSSFP"	8	11	7	"Jack Sparrow"	"cutlass"	0.32	1	24	"Inside Out"
"112"	112	"female"	"no"	21	"CCCC"	5	1	1	"Blackbeard"	"sabre"	4.44	1	1	"Monsters University"
"113"	113	"male"	"yes"	24	"CCCC"	10	9	1	"Jack Sparrow"	"cutlass"	1.29	1	22	"Finding Nemo"
"114"	114	"male"	"yes"	20	"CCCC"	6	3	2	"Edward Low"	"cutlass"	0.8	0	9	"Monsters University"
"115"	115	"female"	"yes"	29	"CCCC"	11	8	0	"Anicetus"	"scimitar"	0.37	1	0	"Finding Nemo"
"116"	116	"male"	"yes"	15	"CCCC"	14	2	0	"Edward Low"	"cutlass"	0.42	0	28	"Cars 2"
"117"	117	"female"	"no"	29	"CCCC"	8	1	3	"Anicetus"	"sabre"	2.84	1	1	"A Bug's Life"
"118"	118	"male"	"yes"	20	"CCCC"	11	4	0	"Anicetus"	"sabre"	9.95	1	30	"Cars"
"119"	119	"male"	"yes"	19	"CCCC"	9	12	3	"Jack Sparrow"	"cutlass"	0.19	0	11	"Finding Nemo"
"120"	120	"female"	"yes"	27	"CCCC"	8	39	0	"Edward Low"	"cutlass"	0.71	1	1	"Toy Story 2"
"121"	121	"male"	"yes"	22	"CCCC"	8	0	5	"Blackbeard"	"cutlass"	0.71	0	22	"Finding Nemo"
"122"	122	"male"	"yes"	26	"CCCC"	7	0	0	"Jack Sparrow"	"cutlass"	0.16	0	11	"Finding Nemo"
"123"	123	"female"	"no"	36	"JSSFP"	5	14	3	"Edward Low"	"scimitar"	6.77	1	0	"Monsters University"
"124"	124	"male"	"yes"	24	"CCCC"	5	3	1	"Jack Sparrow"	"sabre"	0.39	0	23	"A Bug's Life"
"125"	125	"male"	"yes"	24	"CCCC"	10	12	0	"Jack Sparrow"	"cutlass"	0.53	1	16	"Inside Out"
"126"	126	"female"	"yes"	23	"CCCC"	17	16	5	"Jack Sparrow"	"cutlass"	1.08	1	0	"Inside Out"
"127"	127	"female"	"yes"	29	"CCCC"	8	2	2	"Hook"	"cutlass"	1.9	1	0	"Inside Out"
"128"	128	"male"	"yes"	27	"CCCC"	10	11	8	"Jack Sparrow"	"cutlass"	0.07	1	18	"Inside Out"
"129"	129	"male"	"yes"	26	"CCCC"	20	2	1	"Lewis Scot"	"cutlass"	0.2	0	25	"Toy Story 2"
"130"	130	"female"	"yes"	26	"CCCC"	8	3	2	"Anicetus"	"cutlass"	1.06	0	0	"Cars 2"
"131"	131	"female"	"yes"	29	"CCCC"	3	8	0	"Edward Low"	"cutlass"	0.55	1	1	"Inside Out"
"132"	132	"female"	"yes"	32	"JSSFP"	15	4	1	"Edward Low"	"cutlass"	0.43	1	0	"Inside Out"
"133"	133	"female"	"yes"	29	"CCCC"	13	1	3	"Lewis Scot"	"cutlass"	0.49	1	0	"Inside Out"
"134"	134	"male"	"yes"	25	"CCCC"	13	4	0	"Jack Sparrow"	"scimitar"	6.66	1	27	"Toy Story"
"135"	135	"female"	"no"	18	"CCCC"	5	1	3	"Lewis Scot"	"banana"	0.66	0	0	"Up"
"136"	136	"female"	"yes"	18	"CCCC"	9	2	5	"Blackbeard"	"cutlass"	0.76	1	0	"Up"
"137"	137	"male"	"yes"	39	"JSSFP"	17	7	8	"Jack Sparrow"	"cutlass"	0.24	1	23	"Inside Out"
"138"	138	"female"	"yes"	30	"CCCC"	10	13	3	"Edward Low"	"sabre"	0.95	1	0	"Inside Out"
"139"	139	"male"	"yes"	27	"CCCC"	9	3	1	"Edward Low"	"cutlass"	0.47	1	21	"Up"
"140"	140	"female"	"yes"	34	"JSSFP"	6	7	5	"Edward Low"	"cutlass"	1.97	0	1	"The Incredibles"
"141"	141	"female"	"yes"	27	"CCCC"	8	4	3	"Edward Low"	"cutlass"	0.04	1	0	"Inside Out"
"142"	142	"female"	"yes"	28	"CCCC"	11	14	2	"Hook"	"sabre"	9.94	0	0	"Finding Nemo"
"143"	143	"female"	"yes"	31	"CCCC"	10	10	4	"Hook"	"cutlass"	0.34	1	1	"Inside Out"
"144"	144	"female"	"no"	22	"CCCC"	5	0	2	"Hook"	"banana"	5.65	1	1	"Inside Out"
"145"	145	"female"	"yes"	28	"CCCC"	12	5	3	"Jack Sparrow"	"banana"	11.53	1	2	"Inside Out"
"146"	146	"female"	"yes"	29	"CCCC"	11	0	5	"Blackbeard"	"cutlass"	0.58	1	0	"Cars 2"
"147"	147	"female"	"yes"	27	"CCCC"	12	11	0	"Hook"	"cutlass"	0.35	0	0	"Brave"
"148"	148	"male"	"yes"	35	"JSSFP"	13	20	3	"Edward Low"	"cutlass"	0.08	1	15	"Inside Out"
"149"	149	"female"	"yes"	35	"JSSFP"	8	9	1	"Anicetus"	"cutlass"	1.11	1	0	"Toy Story 2"
"150"	150	"male"	"yes"	25	"CCCC"	11	0	3	"Jack Sparrow"	"cutlass"	0.49	1	11	"The Incredibles"
"151"	151	"male"	"yes"	31	"CCCC"	10	1	3	"Jack Sparrow"	"cutlass"	0.65	1	20	"WALL-E"
"152"	152	"male"	"yes"	24	"CCCC"	7	9	3	"Hook"	"cutlass"	0.19	1	24	"Inside Out"
"153"	153	"female"	"yes"	24	"CCCC"	7	10	6	"Blackbeard"	"cutlass"	0.3	1	0	"Inside Out"
"154"	154	"female"	"yes"	34	"JSSFP"	10	11	1	"Hook"	"cutlass"	2.12	1	1	"Inside Out"
"155"	155	"male"	"yes"	20	"CCCC"	6	19	8	"Jack Sparrow"	"cutlass"	0.94	1	14	"Inside Out"
"156"	156	"female"	"yes"	25	"CCCC"	10	5	4	"Edward Low"	"cutlass"	0.17	1	0	"Toy Story"
"157"	157	"male"	"yes"	27	"CCCC"	8	8	3	"Edward Low"	"cutlass"	1.19	1	14	"Inside Out"
"158"	158	"male"	"yes"	18	"CCCC"	11	5	1	"Jack Sparrow"	"sabre"	9.53	1	22	"Inside Out"
"159"	159	"female"	"yes"	43	"JSSFP"	5	4	0	"Hook"	"cutlass"	0.06	0	1	"Finding Nemo"
"160"	160	"male"	"yes"	22	"CCCC"	13	3	2	"Jack Sparrow"	"cutlass"	0.38	1	21	"Inside Out"
"161"	161	"male"	"yes"	22	"CCCC"	5	5	1	"Jack Sparrow"	"cutlass"	0.88	1	10	"Monsters University"
"162"	162	"female"	"yes"	29	"CCCC"	8	1	1	"Edward Low"	"cutlass"	0.72	1	0	"Inside Out"
"163"	163	"female"	"yes"	35	"JSSFP"	12	17	1	"Lewis Scot"	"cutlass"	0.1	1	0	"Inside Out"
"164"	164	"male"	"yes"	23	"CCCC"	13	1	1	"Jack Sparrow"	"cutlass"	2.71	1	29	"Inside Out"
"165"	165	"other"	"yes"	24	"CCCC"	7	8	1	"Anicetus"	"cutlass"	0.7	1	10	"A Bug's Life"
"166"	166	"female"	"yes"	32	"CCCC"	5	14	2	"Hook"	"cutlass"	0.26	1	1	"Up"
"167"	167	"male"	"no"	23	"CCCC"	6	2	0	"Jack Sparrow"	"banana"	1.81	1	9	"Inside Out"
"168"	168	"female"	"yes"	31	"JSSFP"	12	10	2	"Jack Sparrow"	"cutlass"	0.09	0	0	"Toy Story 2"
"169"	169	"female"	"yes"	32	"CCCC"	8	7	0	"Anicetus"	"cutlass"	0.38	0	0	"Finding Nemo"
"170"	170	"male"	"yes"	19	"CCCC"	12	6	0	"Anicetus"	"cutlass"	0.38	1	17	"Inside Out"
"171"	171	"female"	"yes"	34	"JSSFP"	10	3	1	"Jack Sparrow"	"cutlass"	2.05	1	2	"Inside Out"
"172"	172	"male"	"yes"	29	"JSSFP"	6	1	8	"Jack Sparrow"	"cutlass"	1.66	0	14	"Inside Out"
"173"	173	"female"	"yes"	29	"CCCC"	12	6	1	"Hook"	"cutlass"	1.14	1	0	"Inside Out"
"174"	174	"male"	"yes"	19	"CCCC"	10	4	3	"Edward Low"	"sabre"	3.56	1	29	"Inside Out"
"175"	175	"female"	"yes"	33	"JSSFP"	9	1	2	"Hook"	"cutlass"	0.44	1	1	"WALL-E"
"176"	176	"female"	"yes"	25	"CCCC"	9	9	3	"Edward Low"	"cutlass"	1.29	1	1	"Monsters University"
"177"	177	"female"	"yes"	38	"JSSFP"	12	5	4	"Hook"	"cutlass"	0.32	1	1	"Inside Out"
"178"	178	"male"	"yes"	24	"CCCC"	5	2	0	"Jack Sparrow"	"cutlass"	0.72	0	18	"Monsters University"
"179"	179	"female"	"yes"	32	"JSSFP"	11	6	3	"Edward Low"	"cutlass"	0.54	1	2	"Monsters, Inc."
"180"	180	"male"	"yes"	25	"CCCC"	9	1	1	"Edward Low"	"cutlass"	1.22	0	14	"Cars 2"
"181"	181	"female"	"no"	33	"JSSFP"	0	6	1	"Hook"	"banana"	6.63	1	1	"Cars"
"182"	182	"female"	"yes"	25	"CCCC"	9	13	7	"Blackbeard"	"cutlass"	2.59	0	1	"Up"
"183"	183	"male"	"yes"	23	"CCCC"	2	0	1	"Jack Sparrow"	"cutlass"	0.83	1	10	"Cars 2"
"184"	184	"male"	"yes"	19	"CCCC"	4	3	2	"Edward Low"	"cutlass"	1.06	0	12	"Up"
"185"	185	"male"	"yes"	31	"JSSFP"	13	1	1	"Jack Sparrow"	"cutlass"	0.29	0	23	"Cars"
"186"	186	"male"	"yes"	24	"CCCC"	11	2	0	"Jack Sparrow"	"cutlass"	0.34	1	22	"WALL-E"
"187"	187	"female"	"yes"	23	"CCCC"	11	8	1	"Jack Sparrow"	"cutlass"	1.54	1	0	"Inside Out"
"188"	188	"male"	"yes"	26	"CCCC"	10	12	3	"Jack Sparrow"	"cutlass"	0.03	1	24	"Inside Out"
"189"	189	"female"	"yes"	21	"CCCC"	8	10	6	"Hook"	"sabre"	1.34	0	0	"Finding Nemo"
"190"	190	"male"	"no"	28	"CCCC"	3	9	1	"Anicetus"	"banana"	2.57	0	7	"Finding Nemo"
"191"	191	"male"	"yes"	31	"CCCC"	10	2	6	"Jack Sparrow"	"cutlass"	0.44	1	22	"Inside Out"
"192"	192	"male"	"yes"	31	"CCCC"	11	5	1	"Jack Sparrow"	"cutlass"	0.04	1	27	"WALL-E"
"193"	193	"male"	"yes"	25	"CCCC"	10	6	3	"Edward Low"	"cutlass"	0.23	0	15	"Finding Nemo"
"194"	194	"female"	"yes"	35	"JSSFP"	6	8	4	"Blackbeard"	"cutlass"	0.21	1	1	"The Incredibles"
"195"	195	"female"	"yes"	30	"JSSFP"	10	10	4	"Edward Low"	"sabre"	20.38	1	0	"Inside Out"
"196"	196	"male"	"yes"	22	"CCCC"	9	2	2	"Jack Sparrow"	"cutlass"	0.19	1	16	"Inside Out"
"197"	197	"female"	"yes"	27	"CCCC"	9	7	2	"Jack Sparrow"	"cutlass"	0.12	1	2	"Inside Out"
"198"	198	"female"	"yes"	36	"JSSFP"	13	25	6	"Edward Low"	"cutlass"	0.06	1	0	"Inside Out"
"199"	199	"male"	"no"	32	"JSSFP"	2	3	0	"Jack Sparrow"	"sabre"	1.97	1	19	"Inside Out"
"200"	200	"male"	"yes"	27	"CCCC"	11	1	1	"Jack Sparrow"	"cutlass"	1.12	1	22	"Inside Out"
"201"	201	"female"	"yes"	35	"JSSFP"	10	12	2	"Anicetus"	"cutlass"	1.64	1	0	"Up"
"202"	202	"female"	"yes"	34	"JSSFP"	7	15	6	"Lewis Scot"	"cutlass"	1.5	1	0	"WALL-E"
"203"	203	"other"	"yes"	30	"JSSFP"	13	30	0	"Lewis Scot"	"cutlass"	1.05	1	16	"WALL-E"
"204"	204	"female"	"no"	27	"CCCC"	6	4	0	"Edward Low"	"sabre"	5.93	1	0	"Inside Out"
"205"	205	"female"	"no"	32	"JSSFP"	2	17	1	"Lewis Scot"	"banana"	5.11	0	0	"Cars 2"
"206"	206	"female"	"yes"	29	"CCCC"	11	3	4	"Anicetus"	"cutlass"	1.32	1	1	"Inside Out"
"207"	207	"male"	"yes"	25	"CCCC"	8	1	3	"Jack Sparrow"	"cutlass"	1	0	17	"Finding Nemo"
"208"	208	"male"	"yes"	32	"JSSFP"	10	20	4	"Jack Sparrow"	"sabre"	5.7	1	30	"Brave"
"209"	209	"female"	"yes"	28	"JSSFP"	10	18	2	"Hook"	"cutlass"	0.6	1	0	"Inside Out"
"210"	210	"male"	"yes"	27	"CCCC"	10	3	5	"Jack Sparrow"	"cutlass"	1.24	1	21	"Inside Out"
"211"	211	"female"	"yes"	26	"CCCC"	12	4	3	"Anicetus"	"cutlass"	0.67	1	0	"Inside Out"
"212"	212	"female"	"yes"	29	"CCCC"	9	3	0	"Edward Low"	"cutlass"	3.26	0	0	"Monsters University"
"213"	213	"female"	"yes"	34	"JSSFP"	10	1	2	"Edward Low"	"cutlass"	0.18	0	0	"Finding Nemo"
"214"	214	"male"	"no"	24	"CCCC"	3	6	0	"Jack Sparrow"	"banana"	6.68	1	6	"Inside Out"
"215"	215	"female"	"yes"	21	"CCCC"	12	5	2	"Hook"	"cutlass"	0.16	0	0	"Finding Nemo"
"216"	216	"female"	"yes"	36	"JSSFP"	15	6	0	"Hook"	"cutlass"	2.8	0	0	"Finding Nemo"
"217"	217	"male"	"yes"	24	"CCCC"	11	0	2	"Jack Sparrow"	"cutlass"	0.27	1	19	"Monsters, Inc."
"218"	218	"male"	"yes"	25	"CCCC"	9	2	2	"Jack Sparrow"	"cutlass"	0.45	0	22	"Finding Nemo"
"219"	219	"female"	"yes"	26	"CCCC"	10	4	0	"Hook"	"cutlass"	0.57	0	0	"Finding Nemo"
"220"	220	"female"	"yes"	27	"CCCC"	10	14	0	"Edward Low"	"cutlass"	2.45	0	0	"Cars 2"
"221"	221	"male"	"yes"	32	"JSSFP"	10	4	1	"Jack Sparrow"	"cutlass"	0.45	1	17	"Monsters, Inc."
